epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
55,685.396,0.5359,0.78288,1.01447,0.71032,0.75414,0.79896,0.73699,0.39763,0.75188,0.908,5.53826e-05,5.53826e-05,5.53826e-05
56,697.914,0.51415,0.76562,1.00313,0.75925,0.71274,0.80513,0.7485,0.39912,0.77482,0.90566,5.42045e-05,5.42045e-05,5.42045e-05
57,710.172,0.53047,0.78559,1.01392,0.68181,0.77065,0.80285,0.7414,0.40534,0.7745,0.90798,5.30264e-05,5.30264e-05,5.30264e-05
58,722.687,0.51204,0.76836,1.00754,0.73957,0.74381,0.80319,0.73983,0.40177,0.78355,0.90741,5.18483e-05,5.18483e-05,5.18483e-05
59,734.898,0.5212,0.75347,1.00573,0.74396,0.74343,0.81605,0.74793,0.3985,0.75306,0.90569,5.06702e-05,5.06702e-05,5.06702e-05
60,747.072,0.52262,0.75014,1.0052,0.6947,0.78918,0.81466,0.75228,0.3954,0.76647,0.90201,4.94921e-05,4.94921e-05,4.94921e-05
61,759.683,0.52451,0.77225,1.0085,0.72462,0.74435,0.81018,0.75178,0.40432,0.76562,0.90613,4.8314e-05,4.8314e-05,4.8314e-05
62,771.829,0.50727,0.75873,1.00169,0.75405,0.72088,0.81435,0.75672,0.39893,0.76582,0.90835,4.71359e-05,4.71359e-05,4.71359e-05
63,784.383,0.50909,0.75083,1.01214,0.72065,0.75302,0.80869,0.7524,0.40025,0.76451,0.91028,4.59578e-05,4.59578e-05,4.59578e-05
64,796.61,0.5108,0.74208,1.00317,0.68394,0.77164,0.81193,0.75258,0.40555,0.75825,0.9162,4.47797e-05,4.47797e-05,4.47797e-05
65,808.745,0.52372,0.7718,1.01343,0.76075,0.70543,0.80469,0.74309,0.40918,0.75847,0.91461,4.36016e-05,4.36016e-05,4.36016e-05
66,821.371,0.534,0.7827,1.01948,0.7576,0.71469,0.80512,0.74605,0.39721,0.76659,0.90449,4.24235e-05,4.24235e-05,4.24235e-05
67,833.614,0.50897,0.74439,1.005,0.75981,0.73488,0.81415,0.75146,0.39814,0.7593,0.90667,4.12454e-05,4.12454e-05,4.12454e-05
68,845.86,0.50736,0.74382,0.99545,0.73287,0.73944,0.80941,0.75045,0.39725,0.75849,0.90674,4.00673e-05,4.00673e-05,4.00673e-05
69,858.382,0.52042,0.75158,1.01043,0.74017,0.73321,0.80818,0.74648,0.39552,0.75847,0.90361,3.88892e-05,3.88892e-05,3.88892e-05
70,870.479,0.52701,0.77156,1.01993,0.75949,0.70337,0.80475,0.73793,0.39651,0.77653,0.91057,3.77111e-05,3.77111e-05,3.77111e-05
71,883.047,0.51981,0.76089,1.01035,0.78989,0.68525,0.80885,0.74092,0.39623,0.7565,0.90813,3.6533e-05,3.6533e-05,3.6533e-05
72,895.277,0.50764,0.73948,0.99905,0.73077,0.74413,0.80986,0.74307,0.38566,0.76518,0.90026,3.53549e-05,3.53549e-05,3.53549e-05
73,907.463,0.50703,0.73804,1.00352,0.71916,0.75021,0.81467,0.75018,0.3945,0.75986,0.90987,3.41768e-05,3.41768e-05,3.41768e-05
74,920.162,0.52766,0.7585,1.02172,0.67807,0.77503,0.80548,0.74592,0.39236,0.76788,0.90785,3.29987e-05,3.29987e-05,3.29987e-05
75,932.347,0.50842,0.72104,1.00152,0.68212,0.7894,0.81054,0.75001,0.38787,0.76709,0.9041,3.18206e-05,3.18206e-05,3.18206e-05
76,944.709,0.49776,0.7405,1.00134,0.7327,0.73109,0.80413,0.74107,0.39034,0.77705,0.90549,3.06425e-05,3.06425e-05,3.06425e-05
77,956.945,0.50094,0.71696,0.99276,0.72156,0.75636,0.81158,0.75172,0.39083,0.77414,0.90421,2.94644e-05,2.94644e-05,2.94644e-05
78,969.159,0.49938,0.71235,0.99435,0.72396,0.74768,0.81281,0.74993,0.38855,0.76759,0.90285,2.82863e-05,2.82863e-05,2.82863e-05
79,981.774,0.51612,0.739,1.00255,0.74037,0.74091,0.81123,0.74956,0.39268,0.77641,0.90554,2.71082e-05,2.71082e-05,2.71082e-05
80,993.903,0.51275,0.73582,1.00006,0.726,0.72714,0.80833,0.75477,0.38419,0.76289,0.90285,2.59301e-05,2.59301e-05,2.59301e-05
81,1006.17,0.51978,0.74907,1.00837,0.67565,0.77485,0.80431,0.74954,0.38539,0.75617,0.90501,2.4752e-05,2.4752e-05,2.4752e-05
82,1018.74,0.49364,0.71006,0.99103,0.71483,0.75557,0.80565,0.75383,0.3898,0.75223,0.9074,2.35739e-05,2.35739e-05,2.35739e-05
83,1030.92,0.49909,0.71747,0.99478,0.71102,0.76656,0.80915,0.75456,0.39143,0.7562,0.90977,2.23958e-05,2.23958e-05,2.23958e-05
84,1043.37,0.49024,0.70707,0.98776,0.70866,0.77131,0.80632,0.75388,0.38824,0.74863,0.90905,2.12177e-05,2.12177e-05,2.12177e-05
85,1055.48,0.49395,0.70862,0.99532,0.73465,0.74016,0.80704,0.75113,0.38897,0.75276,0.91017,2.00396e-05,2.00396e-05,2.00396e-05
86,1067.59,0.51223,0.7088,1.0092,0.73634,0.74145,0.80559,0.75089,0.39111,0.74988,0.91021,1.88615e-05,1.88615e-05,1.88615e-05
87,1080.1,0.49808,0.69438,0.99326,0.748,0.73262,0.81096,0.75455,0.39461,0.75599,0.91253,1.76834e-05,1.76834e-05,1.76834e-05
88,1092.22,0.47843,0.67882,0.98195,0.74931,0.7222,0.8082,0.75274,0.39146,0.75066,0.90959,1.65053e-05,1.65053e-05,1.65053e-05
89,1104.37,0.50133,0.72324,1.0022,0.69597,0.7626,0.80922,0.74925,0.39162,0.75961,0.90865,1.53272e-05,1.53272e-05,1.53272e-05
90,1116.76,0.50173,0.69295,0.99516,0.68379,0.77829,0.80481,0.74887,0.39222,0.75627,0.91135,1.41491e-05,1.41491e-05,1.41491e-05
91,1130.26,0.39392,0.53914,0.93075,0.68407,0.76489,0.79258,0.73346,0.39791,0.76101,0.90946,1.2971e-05,1.2971e-05,1.2971e-05
92,1142.88,0.38076,0.50849,0.91714,0.68793,0.76647,0.79693,0.73554,0.39581,0.75464,0.91068,1.17929e-05,1.17929e-05,1.17929e-05
93,1155.02,0.37835,0.5101,0.92019,0.69612,0.75966,0.79974,0.74025,0.39401,0.75862,0.90894,1.06148e-05,1.06148e-05,1.06148e-05
94,1166.99,0.38158,0.51315,0.92291,0.74263,0.71611,0.79468,0.73796,0.39133,0.75656,0.90639,9.4367e-06,9.4367e-06,9.4367e-06
95,1179.4,0.38505,0.50772,0.92052,0.75766,0.70644,0.80567,0.75084,0.39266,0.75693,0.90823,8.2586e-06,8.2586e-06,8.2586e-06
96,1191.37,0.37812,0.50111,0.92037,0.76441,0.70106,0.8085,0.75279,0.39125,0.75338,0.90784,7.0805e-06,7.0805e-06,7.0805e-06
97,1203.69,0.36648,0.49443,0.90549,0.70588,0.75668,0.80256,0.74792,0.39048,0.74963,0.90847,5.9024e-06,5.9024e-06,5.9024e-06
98,1215.72,0.38276,0.4964,0.91645,0.71243,0.75419,0.80757,0.75451,0.3879,0.75408,0.90679,4.7243e-06,4.7243e-06,4.7243e-06
99,1227.68,0.36878,0.47642,0.91042,0.71348,0.75154,0.80792,0.75219,0.38699,0.75452,0.90606,3.5462e-06,3.5462e-06,3.5462e-06
100,1240.06,0.37654,0.48731,0.91574,0.71292,0.75536,0.80124,0.74877,0.3869,0.75629,0.90642,2.3681e-06,2.3681e-06,2.3681e-06
